,E,S,ES,P
940,0.9999998354747054,1.2042768511044248e-06,1.64525294321835e-07,9.999998631197847
941,0.9999998384144303,1.1827589238295374e-06,1.6158556936002376e-07,9.9999986556555
942,0.9999998413016286,1.1616254771958226e-06,1.5869837115626594e-07,9.999998679676144
943,0.9999998441372385,1.1408696413349785e-06,1.558627611674151e-07,9.99999870326759
944,0.999999846922182,1.1204846691288806e-06,1.5307781762010582e-07,9.999998726437505
945,0.9999998496573644,1.100463934016296e-06,1.5034263521111374e-07,9.999998749193423
946,0.9999998523436748,1.0808009278387854e-06,1.4765632481306975e-07,9.99999877154274
947,0.9999998549819865,1.0614892587250946e-06,1.4501801318543222e-07,9.999998793492722
948,0.999999857573157,1.0425226490133483e-06,1.4242684269062354e-07,9.999998815050501
949,0.9999998601180287,1.023894933210368e-06,1.3988197101523874e-07,9.999998836223089
950,0.9999998626174288,1.0056000559874545e-06,1.3738257089623543e-07,9.999998857017365
951,0.9999998650721699,9.876320702119805e-07,1.3492782985201617e-07,9.999998877440092
952,0.9999998674830498,9.69985135014154e-07,1.3251694991831574e-07,9.999998897497907
953,0.9999998698508523,9.526535138883254e-07,1.3014914738880754e-07,9.999998917197331
954,0.9999998721763471,9.356315728282202e-07,1.2782365256034483e-07,9.999998936544767
955,0.9999998744602902,9.1891377849549e-07,1.255397094827538e-07,9.999998955546504
956,0.9999998767034239,9.024946964209889e-07,1.2329657571309757e-07,9.99999897420872
957,0.9999998789064776,8.863689892381884e-07,1.2109352207433058e-07,9.999998992537481
958,0.9999998810701672,8.705314149481578e-07,1.1892983241826559e-07,9.999999010538746
959,0.9999998831951963,8.549768252155456e-07,1.1680480339277579e-07,9.999999028218365
960,0.9999998852822555,8.397001636950084e-07,1.1471774421315655e-07,9.999999045582086
961,0.9999998873320233,8.246964643875418e-07,1.126679764375724e-07,9.999999062635554
962,0.9999998893451659,8.099608500261823e-07,1.1065483374651631e-07,9.999999079384311
